2024-05-05 20:57:01,487 INFO    StreamThr :2711845 [internal.py:wandb_internal():86] W&B internal server running at pid: 2711845, started at: 2024-05-05 20:57:01.485862
2024-05-05 20:57:01,492 DEBUG   HandlerThread:2711845 [handler.py:handle_request():144] handle_request: status
2024-05-05 20:57:01,499 INFO    WriterThread:2711845 [datastore.py:open_for_write():85] open: /home/srk1995/PycharmProjects/diffusers/examples/unconditional_image_generation/wandb/run-20240505_205701-gl5zbawz/run-gl5zbawz.wandb
2024-05-05 20:57:01,507 DEBUG   SenderThread:2711845 [sender.py:send():369] send: header
2024-05-05 20:57:01,570 DEBUG   SenderThread:2711845 [sender.py:send():369] send: run
2024-05-05 20:57:02,234 INFO    SenderThread:2711845 [dir_watcher.py:__init__():211] watching files in: /home/srk1995/PycharmProjects/diffusers/examples/unconditional_image_generation/wandb/run-20240505_205701-gl5zbawz/files
2024-05-05 20:57:02,235 INFO    SenderThread:2711845 [sender.py:_start_run_threads():1100] run started: gl5zbawz with start time 1714910221.478389
2024-05-05 20:57:02,237 DEBUG   SenderThread:2711845 [sender.py:send_request():396] send_request: summary_record
2024-05-05 20:57:02,238 INFO    SenderThread:2711845 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2024-05-05 20:57:02,251 DEBUG   HandlerThread:2711845 [handler.py:handle_request():144] handle_request: check_version
2024-05-05 20:57:02,252 DEBUG   SenderThread:2711845 [sender.py:send_request():396] send_request: check_version
2024-05-05 20:57:02,389 DEBUG   HandlerThread:2711845 [handler.py:handle_request():144] handle_request: run_start
2024-05-05 20:57:02,404 DEBUG   HandlerThread:2711845 [system_info.py:__init__():31] System info init
2024-05-05 20:57:02,404 DEBUG   HandlerThread:2711845 [system_info.py:__init__():46] System info init done
2024-05-05 20:57:02,404 INFO    HandlerThread:2711845 [system_monitor.py:start():181] Starting system monitor
2024-05-05 20:57:02,405 INFO    SystemMonitor:2711845 [system_monitor.py:_start():145] Starting system asset monitoring threads
2024-05-05 20:57:02,406 INFO    HandlerThread:2711845 [system_monitor.py:probe():201] Collecting system info
2024-05-05 20:57:02,409 INFO    SystemMonitor:2711845 [interfaces.py:start():190] Started cpu monitoring
2024-05-05 20:57:02,411 INFO    SystemMonitor:2711845 [interfaces.py:start():190] Started disk monitoring
2024-05-05 20:57:02,415 INFO    SystemMonitor:2711845 [interfaces.py:start():190] Started gpu monitoring
2024-05-05 20:57:02,419 INFO    SystemMonitor:2711845 [interfaces.py:start():190] Started memory monitoring
2024-05-05 20:57:02,421 INFO    SystemMonitor:2711845 [interfaces.py:start():190] Started network monitoring
2024-05-05 20:57:02,567 DEBUG   HandlerThread:2711845 [system_info.py:probe():195] Probing system
2024-05-05 20:57:02,586 DEBUG   HandlerThread:2711845 [system_info.py:_probe_git():180] Probing git
2024-05-05 20:57:02,630 DEBUG   HandlerThread:2711845 [system_info.py:_probe_git():188] Probing git done
2024-05-05 20:57:02,630 DEBUG   HandlerThread:2711845 [system_info.py:probe():240] Probing system done
